Word;Label1;Label2
Within;B-PRECONDITION
the;I-PRECONDITION
shunting;I-PRECONDITION
group;I-PRECONDITION
,;O
it;B-POSTCONDITION
shall;I-POSTCONDITION
be;I-POSTCONDITION
possible;I-POSTCONDITION
for;I-POSTCONDITION
only;I-POSTCONDITION
one;I-POSTCONDITION
member;I-POSTCONDITION
of;I-POSTCONDITION
the;I-POSTCONDITION
group;I-POSTCONDITION
to;I-POSTCONDITION
transmit;I-POSTCONDITION
the;I-POSTCONDITION
link;I-POSTCONDITION
assurance;I-POSTCONDITION
signal;I-POSTCONDITION
at;I-POSTCONDITION
any;I-POSTCONDITION
time;I-POSTCONDITION
.;I-POSTCONDITION
;;
When;B-PRECONDITION
applicable;I-PRECONDITION
a;I-PRECONDITION
Security;I-PRECONDITION
Domain;I-PRECONDITION
shall;B-POSTCONDITION
Request;I-POSTCONDITION
the;I-POSTCONDITION
OPEN;I-POSTCONDITION
to;I-POSTCONDITION
load;I-POSTCONDITION
,;I-POSTCONDITION
install;I-POSTCONDITION
,;I-POSTCONDITION
extradite;I-POSTCONDITION
,;I-POSTCONDITION
and;I-POSTCONDITION
delete;I-POSTCONDITION
card;I-POSTCONDITION
content;I-POSTCONDITION
,;I-POSTCONDITION
;;
The;B-POSTCONDITION
Bootstrap;I-POSTCONDITION
Monitor;I-POSTCONDITION
of;I-POSTCONDITION
the;I-POSTCONDITION
DPU;I-POSTCONDITION
-;I-POSTCONDITION
BOOT;I-POSTCONDITION
CSC;I-POSTCONDITION
shall;I-POSTCONDITION
output;I-POSTCONDITION
an;I-POSTCONDITION
error;I-POSTCONDITION
message;I-POSTCONDITION
to;I-POSTCONDITION
the;I-POSTCONDITION
RS-232;I-POSTCONDITION
interface;I-POSTCONDITION
if;B-PRECONDITION
an;I-PRECONDITION
incorrect;I-PRECONDITION
number;I-PRECONDITION
of;I-PRECONDITION
command;I-PRECONDITION
arguments;I-PRECONDITION
are;I-PRECONDITION
entered;I-PRECONDITION
.;I-PRECONDITION
;;
The;B-POSTCONDITION
DPU;I-POSTCONDITION
-;I-POSTCONDITION
SCUI;I-POSTCONDITION
shall;I-POSTCONDITION
be;I-POSTCONDITION
capable;I-POSTCONDITION
of;I-POSTCONDITION
preparing;I-POSTCONDITION
one;I-POSTCONDITION
STPDU;I-POSTCONDITION
for;I-POSTCONDITION
delivery;I-POSTCONDITION
to;I-POSTCONDITION
the;I-POSTCONDITION
SCU;I-POSTCONDITION
every;I-POSTCONDITION
M;I-POSTCONDITION
milliseconds;I-POSTCONDITION
,;I-POSTCONDITION
or;I-POSTCONDITION
shall;I-POSTCONDITION
indicate;I-POSTCONDITION
a;I-POSTCONDITION
No;I-POSTCONDITION
Data;I-POSTCONDITION
condition;I-POSTCONDITION
to;I-POSTCONDITION
the;I-POSTCONDITION
SCU;I-POSTCONDITION
by;I-POSTCONDITION
maintaining;I-POSTCONDITION
an;I-POSTCONDITION
un;I-POSTCONDITION
-;I-POSTCONDITION
incremented;I-POSTCONDITION
ST_PDU;I-POSTCONDITION
Transfer;I-POSTCONDITION
Request;I-POSTCONDITION
Counter;I-POSTCONDITION
field;I-POSTCONDITION
.;I-POSTCONDITION
;;
Scheme;B-POSTCONDITION
providers;I-POSTCONDITION
must;I-POSTCONDITION
assign;I-POSTCONDITION
unique;I-POSTCONDITION
identifying;I-POSTCONDITION
numbers;I-POSTCONDITION
to;I-POSTCONDITION
merchant;I-POSTCONDITION
acquirers;I-POSTCONDITION
who;I-POSTCONDITION
provide;I-POSTCONDITION
PSAMs;I-POSTCONDITION
;;
If;B-PRECONDITION
automatic;I-PRECONDITION
network;I-PRECONDITION
selection;I-PRECONDITION
is;I-PRECONDITION
implemented;I-PRECONDITION
,;I-PRECONDITION
it;B-POSTCONDITION
shall;I-POSTCONDITION
be;I-POSTCONDITION
possible;I-POSTCONDITION
for;I-POSTCONDITION
the;I-POSTCONDITION
driver;I-POSTCONDITION
to;I-POSTCONDITION
activate;I-POSTCONDITION
and;I-POSTCONDITION
deactivate;I-POSTCONDITION
automatic;I-POSTCONDITION
network;I-POSTCONDITION
selection;I-POSTCONDITION
.;I-POSTCONDITION
;;
The;B-POSTCONDITION
system;I-POSTCONDITION
shall;I-POSTCONDITION
operate;I-POSTCONDITION
within;I-POSTCONDITION
the;I-POSTCONDITION
Windows;I-POSTCONDITION
XP;I-POSTCONDITION
Professional;I-POSTCONDITION
operating;I-POSTCONDITION
system;I-POSTCONDITION
.;I-POSTCONDITION
;;
A;B-POSTCONDITION
VCD;I-POSTCONDITION
system;I-POSTCONDITION
MUST;I-POSTCONDITION
provide;I-POSTCONDITION
a;I-POSTCONDITION
user;I-POSTCONDITION
-;I-POSTCONDITION
interface;I-POSTCONDITION
to;I-POSTCONDITION
the;I-POSTCONDITION
economic;I-POSTCONDITION
operator;I-POSTCONDITION
for;I-POSTCONDITION
uploading;I-POSTCONDITION
an;I-POSTCONDITION
existing;I-POSTCONDITION
VCD;I-POSTCONDITION
package;I-POSTCONDITION
;;
In;B-PRECONDITION
order;I-PRECONDITION
to;I-PRECONDITION
fulfil;I-PRECONDITION
the;I-PRECONDITION
requirements;I-PRECONDITION
